               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.042175,            0.025098,           0.0024261,             0.85463,             0.78905,             0.85697,             0.65426,            0.035229,           0.0083837,          0.00085013,           0.0057925,           0.0057925,           0.0057925
                  36,            0.042069,            0.025074,           0.0024438,              0.8586,             0.79212,             0.85799,             0.65352,            0.035199,           0.0083735,           0.0008439,           0.0056688,           0.0056688,           0.0056688
                  37,            0.042029,            0.024993,           0.0023857,             0.84507,             0.79486,             0.85805,              0.6534,            0.035145,           0.0083666,          0.00085281,            0.005545,            0.005545,            0.005545
                  38,            0.041969,            0.025088,           0.0023305,             0.86251,             0.78995,             0.85824,             0.65386,            0.035103,             0.00836,          0.00084213,           0.0054212,           0.0054212,           0.0054212
                  39,            0.041833,            0.025065,           0.0022263,             0.84637,             0.79987,             0.85853,             0.65576,            0.035063,           0.0083559,          0.00085464,           0.0052975,           0.0052975,           0.0052975
                  40,            0.041532,            0.024931,           0.0022828,               0.865,             0.79105,             0.85878,             0.65622,            0.035042,           0.0083495,          0.00085276,           0.0051737,           0.0051737,           0.0051737
                  41,            0.041536,              0.0248,           0.0022554,              0.8453,             0.80065,             0.85795,             0.65706,            0.035007,           0.0083396,           0.0008478,             0.00505,             0.00505,             0.00505
                  42,            0.041499,            0.024757,           0.0022029,             0.85246,             0.79685,             0.85819,             0.65823,            0.034978,           0.0083314,          0.00084197,           0.0049263,           0.0049263,           0.0049263
                  43,            0.041417,            0.024782,           0.0022048,             0.85153,             0.79929,             0.85849,             0.65777,            0.034955,           0.0083196,           0.0008285,           0.0048025,           0.0048025,           0.0048025
                  44,            0.041249,            0.024827,           0.0021427,             0.85928,             0.79405,             0.85984,               0.659,            0.034926,           0.0083062,          0.00082825,           0.0046788,           0.0046788,           0.0046788
                  45,            0.041208,            0.024623,           0.0021081,             0.86621,             0.78984,             0.85983,             0.65973,            0.034884,           0.0082989,          0.00082498,            0.004555,            0.004555,            0.004555
                  46,            0.041146,            0.024633,           0.0021073,             0.86592,             0.79102,             0.86006,             0.65965,            0.034842,           0.0082876,          0.00082491,           0.0044313,           0.0044313,           0.0044313
                  47,            0.041044,            0.024517,           0.0020622,             0.86017,             0.79709,             0.85958,             0.65984,            0.034801,           0.0082764,          0.00083439,           0.0043075,           0.0043075,           0.0043075
                  48,            0.040729,            0.024579,           0.0020781,             0.86601,             0.79146,             0.85987,             0.66144,            0.034749,           0.0082669,           0.0008357,           0.0041837,           0.0041837,           0.0041837
                  49,              0.0409,            0.024457,           0.0020069,             0.87039,             0.78786,             0.86023,             0.66193,            0.034708,           0.0082608,          0.00084141,             0.00406,             0.00406,             0.00406
                  50,            0.040551,            0.024406,           0.0019153,             0.86402,              0.7906,             0.86151,             0.66305,            0.034655,           0.0082563,          0.00083814,           0.0039362,           0.0039362,           0.0039362
                  51,            0.040465,            0.024258,           0.0018935,             0.86076,             0.79578,             0.86216,             0.66279,            0.034627,           0.0082516,          0.00083356,           0.0038125,           0.0038125,           0.0038125
                  52,            0.040394,            0.024216,            0.001904,             0.85412,             0.79936,             0.86248,             0.66497,            0.034616,           0.0082405,          0.00083391,           0.0036888,           0.0036888,           0.0036888
                  53,            0.040402,            0.024313,           0.0018873,             0.85656,             0.79748,             0.86227,             0.66516,            0.034601,           0.0082283,           0.0008383,            0.003565,            0.003565,            0.003565
                  54,            0.040006,            0.024141,           0.0018269,             0.85298,             0.80496,             0.86232,             0.66586,            0.034573,           0.0082197,          0.00083123,           0.0034413,           0.0034413,           0.0034413
                  55,            0.040087,            0.024153,           0.0018391,             0.85218,             0.80182,             0.86351,             0.66745,            0.034548,            0.008214,          0.00082769,           0.0033175,           0.0033175,           0.0033175
                  56,            0.039992,              0.0241,           0.0017767,             0.84972,             0.79942,             0.86288,             0.66783,            0.034522,             0.00821,          0.00082217,           0.0031938,           0.0031938,           0.0031938
                  57,            0.039853,            0.023993,           0.0017188,             0.84372,             0.80632,             0.86331,             0.66824,            0.034497,           0.0082017,          0.00082705,             0.00307,             0.00307,             0.00307
                  58,            0.039487,            0.023785,           0.0016902,              0.8618,             0.79446,             0.86363,             0.66836,            0.034479,           0.0081999,          0.00083287,           0.0029462,           0.0029462,           0.0029462
                  59,            0.039552,            0.023792,           0.0017522,             0.85467,             0.79683,             0.86338,              0.6692,            0.034476,           0.0081915,           0.0008323,           0.0028225,           0.0028225,           0.0028225
                  60,            0.039334,            0.023844,           0.0016763,             0.84531,             0.80676,             0.86156,             0.66794,            0.034447,           0.0081823,           0.0008264,           0.0026987,           0.0026987,           0.0026987
                  61,            0.039168,              0.0237,           0.0016525,             0.85106,             0.79966,             0.86242,             0.66854,             0.03441,           0.0081763,           0.0008297,            0.002575,            0.002575,            0.002575
